Angle 1    | X_1         | Y_1          | Angle 2     | X_2         | Y_2         | Frame # 
-4.524440  | 712.111572  | 512.512634  | -93.629128  | 512.512634  | 447.028809  | 258
-2.627439  | 715.415833  | 515.529724  | -91.933502  | 515.529724  | 453.146973  | 259
-0.788946  | 718.623047  | 518.624023  | -90.178062  | 518.624023  | 459.368988  | 260
0.985043  | 721.719116  | 521.800598  | -88.364708  | 521.800598  | 465.692688  | 261
2.688440  | 724.690491  | 525.064514  | -86.495430  | 525.064514  | 472.115540  | 262
4.315107  | 727.524170  | 528.420898  | -84.572266  | 528.420898  | 478.634583  | 263
5.858893  | 730.207886  | 531.874878  | -82.597260  | 531.874878  | 485.246246  | 264
7.313672  | 732.730103  | 535.431458  | -80.572418  | 535.431458  | 491.946594  | 265
8.673370  | 735.080139  | 539.095459  | -78.499672  | 539.095459  | 498.731110  | 266
9.932001  | 737.247925  | 542.871460  | -76.380814  | 542.871460  | 505.594849  | 267
11.083676  | 739.224243  | 546.764099  | -74.217430  | 546.764099  | 512.532227  | 268
12.122621  | 741.000488  | 550.777466  | -72.010880  | 550.777466  | 519.537354  | 269
13.043167  | 742.568481  | 554.915527  | -69.762207  | 554.915527  | 526.603455  | 270
13.839743  | 743.920715  | 559.182129  | -67.472092  | 559.182129  | 533.723511  | 271
14.506839  | 745.049561  | 563.580872  | -65.140793  | 563.580872  | 540.889771  | 272
15.038960  | 745.947571  | 568.115295  | -62.768070  | 568.115295  | 548.093628  | 273
15.430562  | 746.607056  | 572.788940  | -60.353127  | 572.788940  | 555.325928  | 274
15.675957  | 747.019653  | 577.605408  | -57.894535  | 577.605408  | 562.576416  | 275
15.769204  | 747.176331  | 582.568604  | -55.390141  | 582.568604  | 569.833496  | 276
15.703972  | 747.066711  | 587.682739  | -52.836979  | 587.682739  | 577.084290  | 277
15.473362  | 746.679016  | 592.952759  | -50.231159  | 592.952759  | 584.313843  | 278
15.069713  | 745.999390  | 598.384338  | -47.567738  | 598.384338  | 591.504639  | 279
14.484359  | 745.011597  | 603.984253  | -44.840576  | 603.984253  | 598.635925  | 280
13.707368  | 743.696289  | 609.760864  | -42.042160  | 609.760864  | 605.682312  | 281
12.727257  | 742.031006  | 615.724121  | -39.163429  | 615.724121  | 612.612549  | 282
11.530735  | 739.989380  | 621.886292  | -36.193592  | 621.886292  | 619.387024  | 283
10.102570  | 737.541077  | 628.262146  | -33.120022  | 628.262146  | 625.955078  | 284
8.425769  | 734.652771  | 634.869507  | -29.928329  | 634.869507  | 632.250671  | 285
6.482535  | 731.290039  | 641.729065  | -26.602938  | 641.729065  | 638.186890  | 286
4.256826  | 727.422729  | 648.863342  | -23.128649  | 648.863342  | 643.649170  | 287
1.740024  | 723.036438  | 656.294128  | -19.494211  | 656.294128  | 648.488953  | 288
-1.058321  | 718.153015  | 664.035706  | -15.699171  | 664.035706  | 652.522095  | 289
